word	token	X	Y
balg_Va2	2	2.202339e+02	2.782978e+02
balg_Va2	2	2.272920e+02	2.703491e+02
balg_Va2	2	2.363282e+02	2.654149e+02
balg_Va2	2	2.443718e+02	2.594734e+02
balg_Va2	2	2.544007e+02	2.555464e+02
balg_Va2	2	2.644150e+02	2.536194e+02
balg_Va2	2	2.754293e+02	2.516996e+02
balg_Va2	2	2.844436e+02	2.497653e+02
balg_Va2	2	2.944580e+02	2.478383e+02
balg_Va2	2	3.034796e+02	2.449040e+02
balg_Va2	2	3.125012e+02	2.419697e+02
balg_Va2	2	3.195375e+02	2.370209e+02
balg_Va2	2	3.295883e+02	2.300940e+02
balg_Va2	2	3.386318e+02	2.241598e+02
balg_Va2	2	3.476607e+02	2.202255e+02
balg_Va2	2	3.586823e+02	2.173058e+02
balg_Va2	2	3.687039e+02	2.143788e+02
balg_Va2	2	3.797109e+02	2.134591e+02
balg_Va2	2	3.907179e+02	2.125393e+02
balg_Va2	2	4.017176e+02	2.126195e+02
balg_Va2	2	4.127100e+02	2.136997e+02
balg_Va2	2	4.236952e+02	2.157799e+02
balg_Va2	2	4.336584e+02	2.208527e+02
balg_Va2	2	4.426072e+02	2.279181e+02
balg_Va2	2	4.495486e+02	2.359689e+02
balg_Va2	2	4.584973e+02	2.430344e+02
balg_Va2	2	4.674606e+02	2.480999e+02
balg_Va2	2	4.774166e+02	2.541726e+02
balg_Va2	2	4.843727e+02	2.602235e+02
balg_Va2	2	4.923141e+02	2.682817e+02
balg_Va2	2	5.002629e+02	2.753398e+02
balg_Va2	2	5.102261e+02	2.804126e+02
balach_a2	3	2.763835e+02	2.333337e+02
balach_a2	3	2.845692e+02	2.290918e+02
balach_a2	3	2.933074e+02	2.261517e+02
balach_a2	3	3.024203e+02	2.222845e+02
balach_a2	3	3.117109e+02	2.206463e+02
balach_a2	3	3.206269e+02	2.199352e+02
balach_a2	3	3.300953e+02	2.205259e+02
balach_a2	3	3.401162e+02	2.224185e+02
balach_a2	3	3.492099e+02	2.239364e+02
balach_a2	3	3.579481e+02	2.209963e+02
balach_a2	3	3.653844e+02	2.186087e+02
balach_a2	3	3.763516e+02	2.154909e+02
balach_a2	3	3.869441e+02	2.133002e+02
balach_a2	3	3.973397e+02	2.142656e+02
balach_a2	3	4.068081e+02	2.148564e+02
balach_a2	3	4.168290e+02	2.167489e+02
balach_a2	3	4.277770e+02	2.190162e+02
balach_a2	3	4.370485e+02	2.227631e+02
balach_a2	3	4.463200e+02	2.265100e+02
balach_a2	3	4.555915e+02	2.302569e+02
balach_a2	3	4.641137e+02	2.358581e+02
balach_a2	3	4.722611e+02	2.423864e+02
balach_a2	3	4.800339e+02	2.498419e+02
balach_a2	3	4.868795e+02	2.569227e+02
balach_a2	3	4.926010e+02	2.667850e+02
balach_a2	3	4.972176e+02	2.740436e+02
balach_a2	3	5.036885e+02	2.820515e+02
balach_a2	3	5.094100e+02	2.919138e+02
balach_a2	3	5.132773e+02	3.010266e+02
balach_a2	3	5.167698e+02	3.110667e+02
balach_a2	3	5.206370e+02	3.201796e+02
balach_a2	3	5.248789e+02	3.283653e+02
balg_Va2	3	2.412939e+02	2.711106e+02
balg_Va2	3	2.477695e+02	2.624465e+02
balg_Va2	3	2.541375e+02	2.557794e+02
balg_Va2	3	2.654444e+02	2.503800e+02
balg_Va2	3	2.746466e+02	2.468700e+02
balg_Va2	3	2.856844e+02	2.464634e+02
balg_Va2	3	2.967761e+02	2.450581e+02
balg_Va2	3	3.068692e+02	2.435991e+02
balg_Va2	3	3.160176e+02	2.410877e+02
balg_Va2	3	3.252736e+02	2.365792e+02
balg_Va2	3	3.335849e+02	2.310183e+02
balg_Va2	3	3.418961e+02	2.254575e+02
balg_Va2	3	3.522583e+02	2.190057e+02
balg_Va2	3	3.624590e+02	2.155495e+02
balg_Va2	3	3.724983e+02	2.150890e+02
balg_Va2	3	3.835362e+02	2.146824e+02
balg_Va2	3	3.945203e+02	2.152742e+02
balg_Va2	3	4.045058e+02	2.158123e+02
balg_Va2	3	4.155436e+02	2.154056e+02
balg_Va2	3	4.264739e+02	2.169960e+02
balg_Va2	3	4.373504e+02	2.195850e+02
balg_Va2	3	4.460145e+02	2.260606e+02
balg_Va2	3	4.546248e+02	2.335347e+02
balg_Va2	3	4.622904e+02	2.399565e+02
balg_Va2	3	4.709007e+02	2.474306e+02
balg_Va2	3	4.785663e+02	2.538523e+02
balg_Va2	3	4.862318e+02	2.602741e+02
balg_Va2	3	4.938974e+02	2.666958e+02
balg_Va2	3	5.025615e+02	2.731714e+02
balg_Va2	3	5.092286e+02	2.795394e+02
balg_Va2	3	5.168403e+02	2.869597e+02
balg_Va2	3	5.245597e+02	2.923829e+02
