word	token	X	Y
neutral	19	536	533
neutral	19	543	524
neutral	19	545	510
neutral	19	549	498
neutral	19	552	482
neutral	19	558	471
neutral	19	564	458
neutral	19	573	445
neutral	19	581	435
neutral	19	591	424
neutral	19	602	415
neutral	19	613	407
neutral	19	624	397
neutral	19	637	395
neutral	19	651	392
neutral	19	664	390
neutral	19	677	393
neutral	19	691	398
neutral	19	704	402
neutral	19	716	408
neutral	19	727	418
neutral	19	738	428
neutral	19	748	438
neutral	19	759	444
neutral	19	767	453
neutral	19	777	462
neutral	19	777	462
neutral	19	777	462
neutral	19	777	462
neutral	19	777	462
neutral	19	777	462
